"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.nums","Answer.nums","Answer.surveycode","Approve","Reject"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","358010RM5F06Y7S96XKIPCVFNIOVXZ","A1PTX4IB9R34LI","Approved","Tue Dec 28 16:08:16 PST 2021","Tue Dec 28 16:10:32 PST 2021","Fri Dec 31 16:10:32 PST 2021","Tue Dec 28 23:41:44 PST 2021","","","136","100% (1/1)","100% (1/1)","100% (1/1)","1","1","Ms2W3JBSM4ztDoRkU0gido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3EO896NRAX2QQVJVKY52XLZFFZTTJT","A3RHJEMZ4EGY2U","Approved","Tue Dec 28 16:02:52 PST 2021","Tue Dec 28 16:14:05 PST 2021","Fri Dec 31 16:14:05 PST 2021","Tue Dec 28 23:41:45 PST 2021","","","673","100% (3/3)","100% (1/1)","100% (1/1)","1","1","Ms2VrXe3TS48S3GEgryido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3HRMW88U17XFBUSPPTUKT2PRMIS0MT","A2LPVNAJP8ZO0O","Approved","Tue Dec 28 16:03:38 PST 2021","Tue Dec 28 16:14:21 PST 2021","Fri Dec 31 16:14:21 PST 2021","Tue Dec 28 23:41:45 PST 2021","","","643","100% (33/33)","100% (32/32)","100% (19/19)","1","1","Ms2X0Tohn0D59uphu_mido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3K9FOBBF2IQYQ82BQNV3416FU6CNLO","A1YZ0ETOCJO1B2","Approved","Tue Dec 28 16:02:55 PST 2021","Tue Dec 28 16:25:26 PST 2021","Fri Dec 31 16:25:26 PST 2021","Tue Dec 28 23:41:44 PST 2021","","","1351","100% (2/2)","100% (1/1)","100% (1/1)","1","1","Ms2ZFpXIdPrCMW9800kido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3MX2NQ3YCA1P0DDU0625LE1GAUN5X3","A28RL79ONUXTET","Approved","Tue Dec 28 16:02:50 PST 2021","Tue Dec 28 16:05:22 PST 2021","Fri Dec 31 16:05:22 PST 2021","Tue Dec 28 23:41:44 PST 2021","","","152","100% (4/4)","100% (2/2)","100% (1/1)","1","1","Ms2UtW8iJ_JotYXwFVzido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3NGI5ARFTUCL3MAKDSQCOB2WWGR1PD","ANWRXKAOV327E","Approved","Tue Dec 28 18:03:52 PST 2021","Tue Dec 28 18:55:39 PST 2021","Fri Dec 31 18:55:39 PST 2021","Tue Dec 28 23:41:45 PST 2021","","","3107","100% (1/1)","100% (1/1)","100% (1/1)","1","1","Ms34stIk-gli2Cyq9k_ido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3NVC2EB65R6BM3G0RJ0EPVA5Y4XY3J","A1IKWVZZ26QTLU","Approved","Tue Dec 28 17:06:09 PST 2021","Tue Dec 28 17:12:03 PST 2021","Fri Dec 31 17:12:03 PST 2021","Tue Dec 28 23:41:44 PST 2021","","","354","100% (10/10)","100% (10/10)","100% (10/10)","1","1","Ms2iPwiu0Nz5NbDp030ido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3PXX5PX6LY5FTGMAQ6144SQAJ57BAD","A30N1CTXWNHO4U","Approved","Tue Dec 28 17:03:55 PST 2021","Tue Dec 28 17:25:44 PST 2021","Fri Dec 31 17:25:44 PST 2021","Tue Dec 28 23:41:45 PST 2021","","","1309","100% (8/8)","100% (8/8)","100% (8/8)","1","1","Ms2mGjnnglX8QMNMC5zido"
"3QMELQS6Y5IYZ1U26O1G0IX4NMV6RX","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3RGU30DZTBFMD0TBB14QB74NLR6MJU","A2196PMIF2YORD","Approved","Tue Dec 28 17:11:59 PST 2021","Tue Dec 28 17:22:13 PST 2021","Fri Dec 31 17:22:13 PST 2021","Tue Dec 28 23:41:44 PST 2021","","","614","100% (7/7)","100% (7/7)","100% (6/6)","1","1","Ms2k1oOMBuZ-6Ps58ROido"
"382GHPVPHSYS1C5MCA75LMAALH9436","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue Dec 28 16:02:38 PST 2021","9","BatchId:4638855;OriginalHitTemplateId:920937340;","3600","259200","Tue Jan 04 16:02:38 PST 2022","","","3483FV8BEFQKI1ABH0RHNULKTGX629","AM65LGXJBTJ0I","Approved","Tue Dec 28 16:02:54 PST 2021","Tue Dec 28 16:24:33 PST 2021","Fri Dec 31 16:24:33 PST 2021","Tue Dec 28 23:41:46 PST 2021","","","1299","100% (2/2)","100% (1/1)","100% (1/1)","2","2","Ms2Z1DP4RTkfGqfimh9ido"
